    #,  TwoTheta,     Theta, Detector,  Monitor,  Seconds,       I0,       I2,    Foils, Normalized,     kpow,      ch5,      ch6,      ch7,    ICRxT,    OCRxT,     ROI1,     ROI2,     ROI3,     ROI4,     ROI5,     ROI6,     ROI7,   gkcnt1,   gkcnt2,      pd1,      pd2,      pd3,      pd4,      pd5,      pd6,      pd7,      pd8,      pd9,     pd10,     pd11,     pd12,     pd13,     pd14,     pd15,     pd16,     pd17,     pd18
    0,         0,         0,        0,   167541,   1.0000,      180,      374,     0110, 1934.2992,        0,        1,   276283,   275117,      229,      228,        1,        0,        7,        0,        0,        0,        0,        0,        0,   666283,    90485,   634882,       67,   647981,      119,       -2,   625351,   549346,        4,   625682,      120,       -2,       -2,       -2,       -2,        0,        0
    1,    0.0286,    0.0143,        0,   167456,   1.0001,      183,      374,     0110, 70.288539,        0,        0,   276449,   275071, 200.01469, 200.01469,        1,        2,        8,        0,        0,        0,        0,        0,        0,   715223,     3534,   677163,       58,   693472,       97,       -2,   668320,    19952,        7,   669006,      137,       -2,       -2,       -2,       -2,        0,        0
    2,    0.0571,    0.0286,        0,   167404,   1.0003,      184,      374,     0110, 86.862489,        0,        0,   276515,   275276, 198.05819, 210.06171,        0,        2,        8,        0,        0,        0,        0,        0,        0,   761291,     4353,   718647,       76,   736502,      110,       -2,   128408,    24649,        4,   709074,      155,       -2,       -2,       -2,       -2,        0,        0
    3,    0.0857,    0.0429,        0,   167512,   1.0007,      183,      375,     0110, 124.57676,        0,        0,   276660,   275482, 195.12894, 195.12894,        1,        3,       12,        0,        0,        0,        0,        0,        0,   810628,     6388,   176068,       77,   782021,      119,       -2,   122342,    35374,        5,   747910,      180,       -2,       -2,       -2,       -2,        0,        0
    4,    0.1143,    0.0571,        0,   167606,   1.0012,      185,      374,     0110, 173.91333,        0,        0,   276835,   275766, 183.21512, 195.22922,        1,        3,        8,        0,        1,        1,        1,        0,        0,   574190,     9015,   182425,       66,   542769,      106,       -2,   157731,    49411,        6,   502966,      133,       -2,       -2,       -2,       -2,        0,        0
    5,    0.1429,    0.0714,        0,   167627,   1.0018,      321,      373,     0010, 255.49279,        0,        1,   277210,   276105, 304.55837, 286.52531,        7,       22,       58,        0,        0,        0,        0,        0,        0,  3012653,   118597,  2134406,      474,  2675152,      843,       -2,  1911123,   617041,       49,  2222575,      548,       -2,       -2,       -2,       -2,        0,        0
    6,    0.1714,    0.0857,        0,   167773,   1.0026,      322,      375,     0010, 302.56599,        0,        1,   277526,   276341, 294.7776, 296.78289,        3,       37,       74,        0,        0,        0,        0,        0,        0,  3388961,   140892,  2531898,      477,  3017757,      886,       -2,  2275415,   731364,       45,  2488561,      578,       -2,       -2,       -2,       -2,        0,        0
    7,       0.2,       0.1,        0,   168022,   1.0036,      322,      375,     0010, 360.95371,        0,        2,   277757,   276589, 308.1052,  306.098,        9,       26,       63,        0,        0,        0,        0,        0,        0,  3848197,   173004,  2951822,      422,  3427005,      836,       -2,  2665523,   873794,       50,  2862556,      692,       -2,       -2,       -2,       -2,        0,        0
    8,    0.2286,    0.1143,        0,   168239,   1.0047,      323,      376,     0010, 408.77854,        0,        0,   277991,   276905, 338.58459, 319.49525,        9,       32,       80,        0,        0,        0,        0,        0,        0,  4321630,   197347,  3362630,      401,  3865592,      767,       -2,  3036398,   990846,       30,  3244441,      784,       -2,       -2,       -2,       -2,        0,        0
    9,    0.2571,    0.1286,        1,   168422,   1.0060,      322,      377,     0010, 464.77611,        0,        2,   278278,   277188, 303.79721, 290.71984,        8,       40,       76,        0,        0,        0,        0,        0,        0,  4788462,   226321,  3784378,      395,  4323386,      748,       -2,  3408408,  1127805,       29,  3638211,      894,       -2,       -2,       -2,       -2,        0,        0
   10,    0.2857,    0.1429,        0,   168619,   1.0073,      324,      378,     0010, 507.64888,        0,        0,   278613,   277450, 337.46122, 317.31429,       12,       48,       61,        0,        0,        0,        0,        0,        0,  5241049,   249074,  4189401,      370,  4768744,      708,       -2,  3771173,  1233279,       42,  4022738,      939,       -2,       -2,       -2,       -2,        0,        0
   11,    0.3143,    0.1571,        1,   168809,   1.0089,      324,      379,     0010, 565.50075,        0,        2,   279025,   277744, 335.9603, 323.85362,       14,       64,       72,        0,        0,        0,        0,        0,        0,  5662459,   280643,  4583993,      331,  5200370,      639,       -2,  4126016,  1375372,       27,  4408294,     1044,       -2,       -2,       -2,       -2,        0,        0
   12,    0.3429,    0.1714,        0,   169063,   1.0106,      216,      379,     1010, 546.43432,        0,        0,   279353,   278292, 281.95171, 275.88823,        7,       19,       19,        0,        0,        0,        0,        0,        0,  1772630,    87762,  1448174,      103,  1641744,      210,       -2,  1301492,   425679,        7,  1394351,      338,       -2,       -2,       -2,       -2,        0,        0
   13,    0.3714,    0.1857,        1,   169371,   1.0124,      215,      381,     1010, 564.44038,        0,        1,   279869,   278717, 221.71918, 216.65709,        6,       24,       10,        0,        0,        0,        0,        0,        0,  1877604,    90230,  1548579,       85,  1753341,      199,       -2,  1392834,   440507,        6,  1494994,      359,       -2,       -2,       -2,       -2,        0,        0
   14,       0.4,       0.2,        0,   169591,   1.0144,      216,      382,     1010, 596.40272,        0,        0,   280386,   279221,  284.032, 280.9888,        7,       21,       21,        0,        0,        0,        0,        0,        0,  1970788,    95921,  1641825,      119,  1855046,      209,       -2,  1477281,   466056,       15,  1589948,      387,       -2,       -2,       -2,       -2,        0,        0
   15,    0.4286,    0.2143,        0,   169930,   1.0165,      217,      383,     1010, 620.6482,        0,        1,   280938,   279868, 230.75245, 203.30612,        3,       25,       17,        0,        0,        0,        0,        0,        0,  2053636,   100703,  1730050,       99,  1948210,      193,       -2,  1555482,   485972,       14,  1679102,      372,       -2,       -2,       -2,       -2,        0,        0
