    #, H, K, L,  Seconds,  Monitor, Detector,     dead,       i1,       i2,       i3,       i4,   normlz,    Foils,     TEMP,      pd1,      pd2,      pd3,      pd4,      pd5,      pd6,      pd7,      pd8,      pd9,     pd10,     pd11,     pd12,     pd13,     pd14,     pd15,     pd16,    ICRxT,    OCRxT,     ROI1,     ROI2,     ROI3,     ROI4,  keith_I,  keith_V,    CTEMP,    Timer,  tempsec,     pd17,     pd18, agi34410,  agidaq1,  agidaq2,  agidaq3,  agidaq4,   CTEMPB
    0, 0.0000000, 0.0000000, 0.3999997,   4.5200,  2.88383,        0,        0,  0.00486,        0,        0,        0, 6331.1638,        0,        0,        0,       58,     9513,     8440,    18258,    15967,        0,    49960,      828,      802,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
    1, 0.0000000, 0.0000001, 0.4049995,   5.0000,  3.19734,        0,        0,  0.00534,        0,        0,        0, 6368.4187,        0,        0,        0,       49,    10672,     9113,    20362,    17372,        0,    55117,      933,      795,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
    2, 0.0000000, 0.0000001, 0.4100006,   5.0000,  3.19309,        0,        0,  0.00532,        0,        0,        0, 6413.8499,        0,        0,        0,       45,    10852,     9250,    20480,    17386,        0,    55247,      945,      827,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
    3, 0.0000000, 0.0000000, 0.4150001,   5.0000,  3.19695,        0,        0,  0.00536,        0,        0,        0, 6352.9301,        0,        0,        0,       48,    10724,     9369,    20310,    17491,        0,    55552,     1006,      886,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
    4, 0.0000000, 0.0000001, 0.4199995,   5.0000,  3.19456,        0,        0,  0.00533,        0,        0,        0, 6286.9378,        0,        0,        1,       39,    10792,     9192,    20084,    16985,        1,    54678,      931,      805,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
    5, 0.0000000, 0.0000001, 0.4250002,   5.0000,   3.1948,        0,        0,  0.00535,        0,        0,        0, 6377.551,        0,        0,        0,       52,    11098,     9342,    20375,    17166,        0,    56176,      990,      835,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
    6, 0.0000000, 0.0000000, 0.4299993,   5.0000,  3.19793,        0,        0,  0.00534,        0,        0,        0, 6304.7034,        0,        0,        0,       42,    11120,     9360,    20162,    16961,        0,    56169,     1008,      863,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
    7, 0.0000000, 0.0000000, 0.4349997,   5.0000,  3.19362,        0,        0,  0.00542,        0,        0,        0, 6197.6691,        0,        0,        0,       41,    10911,     9296,    19793,    16707,        0,    55960,      937,      814,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
    8, 0.0000000, 0.0000000, 0.4400000,   5.0000,  3.19371,        0,        0,  0.00539,        0,        0,        0, 6126.1041,        0,        0,        1,       49,    10800,     9112,    19565,    16199,        1,    55651,      992,      809,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
    9, 0.0000000, 0.0000000, 0.4450001,   5.0000,  3.19366,        0,        0,  0.00536,        0,        0,        0, 6122.1295,        0,        0,        0,       54,    10994,     9020,    19552,    15918,        0,    55783,      954,      809,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
   10, 0.0000000, 0.0000000, 0.4500001,   5.0000,  3.19384,        0,        0,  0.00539,        0,        0,        0, 5897.2898,        0,        0,        0,       41,    10520,     8971,    18835,    15678,        0,    54840,      933,      831,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
   11, 0.0000000, 0.0000000, 0.4550000,   5.0000,  3.19694,        0,        0,  0.00533,        0,        0,        0, 5945.9984,        0,        0,        0,       56,    10625,     8700,    19009,    15164,        0,    53943,      990,      852,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
   12, 0.0000000, 0.0000000, 0.4599997,   5.0000,   3.1943,        0,        0,  0.00538,        0,        0,        0, 5862.9434,        0,        0,        0,       43,    10486,     8552,    18728,    14901,        0,    53153,      973,      893,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
   13, 0.0000000, 0.0000001, 0.4650007,   5.0000,  3.19358,        0,        0,  0.00535,        0,        0,        0, 5829.1948,        0,        0,        0,       50,    10325,     8015,    18616,    14512,        0,    51043,      985,      747,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
   14, 0.0000000, 0.0000001, 0.4700001,   5.0000,  3.19558,        0,        0,  0.00535,        0,        0,        0, 5612.7526,        0,        0,        0,       36,     9726,     7736,    17936,    14371,        0,    48446,      911,      726,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
